"id","country","channel","current_metrics_time","current_volume_time","analysis_period","category","brand","currency","volume_unit","pack_name","current_volume","channel_pack_mix","price_elasticity","current_price_per_volume","current_price_per_pack","current_volume_per_pack","distribution_type","current_distribution","distribution_elasticity","current_trade","trade_elasticity","input_trade"
"1","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 240ML","30549","0.30","-7.900","42.20","1.80","0.04","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"2","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 245ML","1494","0.00","-7.900","44.00","4.40","0.10","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"3","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 250ML","57298","0.60","-7.900","45.40","2.00","0.04","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"4","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 320ML","128232","1.40","-0.800","44.20","2.80","0.06","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"5","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 325ML","946158","10.30","-0.800","39.40","16.20","0.41","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"6","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 330ML","1205094","13.10","-0.800","39.60","9.00","0.23","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"7","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 355ML","1692112","18.40","-0.800","42.90","3.10","0.07","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"8","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 360ML","30895","0.30","-0.800","47.30","3.90","0.08","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"9","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  1L","939269","10.20","-1.000","25.70","4.60","0.18","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"10","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","2026107","22.00","-1.700","18.90","8.30","0.44","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
