"id","country","year","timeline","analysis_period","category","brand","media_type","genre_platform","metric_type","currency","spends_divisor","one_unit_metric_quantity","volume_unit","current_spends","current_metric_value","current_effectiveness_per_unit","current_impressions","current_volume","current_price_per_volume","current_revenue","current_roi","current_cost_per_unit","ideal_operating_point","input_cost_per_unit","input_weekly_grp","input_woa","input_spends"
"1","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","TV","Total","grp","usd","1000","1","8Oz case","1960907.000","3989.000","129.00","-1.00","514581.000","9.126","4695973.92","2.395","491.00","250","-1.000","200.000","20.000","-1"
"2","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","TV","Entertainment","grp","usd","1000","1","8Oz case","860376.000","1456.000","63.00","-1.00","91728.000","9.126","837093.28","0.973","591.00","-1","591.000","-1.000","-1.000","-1"
"3","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","TV","Sports Bein","grp","usd","1000","1","8Oz case","0.000","0.000","71.00","-1.00","0.000","9.126","0.00","0.000","73.00","-1","73.000","-1.000","-1.000","-1"
"4","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","TV","Sports Non-Bein","grp","usd","1000","1","8Oz case","499090.000","1332.000","195.00","-1.00","259740.000","9.126","2370340.66","4.749","375.00","-1","375.000","-1.000","-1.000","-1"
"5","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","TV","Movies & Series","grp","usd","1000","1","8Oz case","601441.000","1201.000","136.00","-1.00","163336.000","9.126","1490575.04","2.478","501.00","-1","501.000","-1.000","-1.000","-1"
"7","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","Digital","Total","Completed Views","usd","1000","1000","8Oz case","1999074.717","78211701.340","25.00","-1.00","1955292.534","9.126","17843649.00","8.926","23.00","-1","-1.000","-1.000","-1.000","2000000"
"8","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","Digital","anghami.com","Completed Views","usd","1000","1000","8Oz case","0.000","0.000","72.00","-1.00","0.000","9.126","0.00","0.000","254.00","-1","254.000","-1.000","-1.000","-1"
"9","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","Digital","Facebook","Completed Views","usd","1000","1000","8Oz case","296127.000","4830586.000","16.00","-1.00","77289.376","9.126","705328.98","2.382","61.00","-1","61.000","-1.000","-1.000","-1"
"10","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","Digital","Instagram","Completed Views","usd","1000","1000","8Oz case","108441.000","1004215.000","18.00","-1.00","18075.870","9.126","164957.15","1.521","108.00","-1","108.000","-1.000","-1.000","-1"
"11","KSA","2021","MAT May 2021","Jan 2018 to May 2021","Beverages","Pepsi","Digital","Programmatic","Completed Views","usd","1000","1000","8Oz case","144638.000","4227535.000","19.00","-1.00","80323.165","9.126","733014.80","5.068","34.00","-1","34.000","-1.000","-1.000","-1"
