country,year,timeline,analysis_period,category,brand,media_type,genre_platform,metric_type,currency,spends_divisor,one_unit_metric_quantity,volume_unit,current_spends,current_metric_value,current_effectiveness_per_unit,current_impressions,current_volume,current_price_per_volume,current_revenue,current_roi,current_cost_per_unit,ideal_operating_point,input_cost_per_unit,input_weekly_grp,input_woa,input_spends
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Total,GRP,ZAR,1000,1,KG,4806418.92,1414.0900000000001,275.718589340141,-1.0,389890.9000000001,50.174501370037994,19562581.49621535,4.144919394583275,3398.948383766238,200.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Drama,GRP,ZAR,1000,1,KG,1872640.4000000004,505.0,184.0,-1.0,92920.0,50.174501370037994,4662214.66730393,2.1,3708.1988118811887,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Movie,GRP,ZAR,1000,1,KG,519151.1200000001,185.0,650.0,-1.0,120250.0,50.174501370037994,6033483.789747069,11.6,2806.2222702702707,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Info & Magazine,GRP,ZAR,1000,1,KG,394453.02999999997,114.0,658.0,-1.0,75012.0,50.174501370037994,3763689.69676929,8.2,3460.1142982456136,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Young Entertainment,GRP,ZAR,1000,1,KG,514933.54999999993,158.0,400.0,-1.0,63200.0,50.174501370037994,3171028.4865864012,6.4,3259.0731012658225,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Reality Shows,GRP,ZAR,1000,1,KG,163673.27,52.0,719.0,-1.0,37388.0,50.174501370037994,1875924.2572229805,9.7,3147.5628846153845,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Soapie,GRP,ZAR,1000,1,KG,325931.2,135.19,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,2410.912049707819,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Actual,GRP,ZAR,1000,1,KG,148268.21000000002,40.56,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,3655.5278599605526,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Documentary,GRP,ZAR,1000,1,KG,186698.72999999998,47.150000000000006,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,3959.67613997879,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Music Show,GRP,ZAR,1000,1,KG,171679.77,34.45,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,4983.447605224963,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,News,GRP,ZAR,1000,1,KG,222977.14999999997,61.609999999999985,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,3619.171400746632,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Sports,GRP,ZAR,1000,1,KG,168836.33,41.03,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,4114.948330489885,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Variety,GRP,ZAR,1000,1,KG,66262.45999999999,25.880000000000003,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,2560.3732612055637,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,TV,Others,GRP,ZAR,1000,1,KG,50913.699999999255,14.220000000000027,-1.0,-1.0,-1.0,50.174501370037994,-1.0,-1.0,3580.4289732770153,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Total,GRP,ZAR,1000,1,KG,2494716.3200000003,490.5,28.77,-1.0,14111.685,88.24687222618722,1245312.0630912029,0.4991798278255552,5086.067930682977,150.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Drama,GRP,ZAR,1000,1,KG,645304.0,136.0,34.0,-1.0,4624.0,88.24687222618722,408053.5371738897,0.4,4744.882352941177,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Movie,GRP,ZAR,1000,1,KG,173074.08,79.0,31.0,-1.0,2449.0,88.24687222618722,216116.59008193252,1.0,2190.8111392405062,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Actual,GRP,ZAR,1000,1,KG,121024.32,31.0,66.0,-1.0,2046.0,88.24687222618722,180553.10057477906,1.2,3904.0103225806456,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Young Entertainment,GRP,ZAR,1000,1,KG,36064.639999999985,25.0,120.0,-1.0,3000.0,88.24687222618722,264740.61667856167,6.0,1442.5855999999994,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Sports,GRP,ZAR,1000,1,KG,48983.04,15.0,132.0,-1.0,1980.0,88.24687222618722,174728.8070078507,2.3,3265.536,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,News,GRP,ZAR,1000,1,KG,991050.7199999999,66.49999999999999,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,14903.018345864662,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Magazine Show,GRP,ZAR,1000,1,KG,170690.8,46.400000000000006,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,3678.6810344827577,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Documentary,GRP,ZAR,1000,1,KG,41569.92,11.4,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,3646.4842105263156,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Music Show,GRP,ZAR,1000,1,KG,55423.6,17.6,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,3149.0681818181815,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Reality,GRP,ZAR,1000,1,KG,120631.84000000001,32.1,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,3758.001246105919,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Soapie,GRP,ZAR,1000,1,KG,44919.35999999999,15.600000000000001,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,2879.4461538461533,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,TV,Others,GRP,ZAR,1000,1,KG,45979.99999999999,14.899999999999977,-1.0,-1.0,-1.0,88.24687222618722,-1.0,-1.0,3085.9060402684604,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,Digital,Total,Impression,ZAR,1000,1000,KG,502451.29000000004,48578710.0,6.6,48578710.0,320619.486,50.174501370037994,16086922.839567875,32.01688036181154,10.343034839747702,3090000.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,Digital,Facebook,Impression,ZAR,1000,1000,KG,373588.20000000007,37258497.0,5.215508290632336,37258497.0,194322.0,50.174501370037994,9750009.455228522,26.098280018556583,10.026926206926706,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,WeetBix,Digital,Instagram,Impression,ZAR,1000,1000,KG,128863.09000000001,11320213.0,11.385890883855279,11320213.0,128890.71,50.174501370037994,6467027.10548017,26.098280018556583,11.383451000436123,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,Digital,Total,Impression,ZAR,1000,1000,KG,367322.53,33994679.0,0.5617974039997389,33994679.0,19098.12241200444,88.24687222618722,1685349.5682522382,-1.0,10.805294852173779,2500000.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,Digital,Facebook,Impression,ZAR,1000,1000,KG,203929.47999999995,19720871.0,0.0901060100235938,19720871.0,1776.969,88.24687222618722,156811.9562928957,-1.0,10.34079478538245,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,Digital,Instagram,Impression,ZAR,1000,1000,KG,147726.88000000003,12985126.0,1.4234013054628813,12985126.0,18483.0453,88.24687222618722,1631070.9369399303,-1.0,11.376622760533863,-1.0,-1.0,-1.0,-1.0,-1.0
RSA,2021,MAT May 2021,May 2019 – Apr 2021,Cereals,ProNutro,Digital,DV 360,Impression,ZAR,1000,1000,KG,15666.17,1288682.0,-1.0,1288682.0,-1.0,88.24687222618722,-1.0,-1.0,12.156738435083287,-1.0,-1.0,-1.0,-1.0,-1.0
